SAMPLE_ID,RUN_ID_LIST_CONCAT,tag_tissue,tag_source_name,tags
ERS657098,ERR754089,rosette leaf,NA,"[ENA checklist:ERC000011] [INSDC center alias:Department of Plant Biotechnology and Bioinformatics, Ghent University, Gent, Belgium Department of Plant Systems Biology,VIB, Gent, Belgium] [INSDC center name:Department of Plant Biotechnology and Bioinformatics, Ghent University, Gent, Belgium Department of Plant Systems Biology,VIB, Gent, Belgium] [INSDC first public:2015-02-12T17:06:48Z] [INSDC last update:2018-03-08T22:49:47Z] [INSDC status:public] [SRA accession:ERS657098] [Sample Name:ERS657098] [alias:E-MTAB-3279:Oy0_S1] [batch:A] [broker name:ArrayExpress] [developmental stage:Proliferative tissue] [ecotype:Oy0] [growth condition:mild drought] [organism:Arabidopsis thaliana] [organism part:rosette leaf] [sampling time point:10 day after stratification] [title:Oy0_S1]"
SRS973487,SRR2080055,aerial tissues of 15 day seedlings,Whole aerial tissue 15 day old seedlings,[source_name:Whole aerial tissue 15 day old seedlings] [tissue:aerial tissues of 15 day seedlings] [genotype:Ler]
SRS932043,SRR2014766,seedling,seedling,[source_name:seedling] [ecotype:Col-0] [genotype:35S::FLAG-GR-KAN1]
SRS1046581,SRR2187611,leaf,Infected Arabidopsis thaliana leaf tissue,[source_name:Infected Arabidopsis thaliana leaf tissue] [ecotype:Col-0] [genotype/variation:jaz5/10 mutant] [agent:Pseudomonas syringae pv. tomato DC3000]
SRS1046582,SRR2187610,leaf,Infected Arabidopsis thaliana leaf tissue,[source_name:Infected Arabidopsis thaliana leaf tissue] [ecotype:Col-0] [genotype/variation:jaz5/10 mutant] [agent:Pseudomonas syringae pv. tomato DC3000]
SRS1046583,SRR2187609,leaf,Arabidopsis thaliana leaf tissue,[source_name:Arabidopsis thaliana leaf tissue] [ecotype:Col-0] [genotype/variation:jaz5/10 mutant] [agent:--]
SRS1046584,SRR2187608,leaf,Infected Arabidopsis thaliana leaf tissue,[source_name:Infected Arabidopsis thaliana leaf tissue] [ecotype:Col-0] [genotype/variation:wild type] [agent:Pseudomonas syringae pv. tomato DC3000]
SRS1046585,SRR2187607,leaf,Infected Arabidopsis thaliana leaf tissue,[source_name:Infected Arabidopsis thaliana leaf tissue] [ecotype:Col-0] [genotype/variation:wild type] [agent:Pseudomonas syringae pv. tomato DC3000]
SRS1046586,SRR2187606,leaf,Infected Arabidopsis thaliana leaf tissue,[source_name:Infected Arabidopsis thaliana leaf tissue] [ecotype:Col-0] [genotype/variation:wild type] [agent:Pseudomonas syringae pv. tomato DC3000]
SRS1046587,SRR2187605,leaf,Infected Arabidopsis thaliana leaf tissue,[source_name:Infected Arabidopsis thaliana leaf tissue] [ecotype:Col-0] [genotype/variation:wild type] [agent:Pseudomonas syringae pv. tomato DC3000]
